event,fight,fighter1,fighter2
"

  UFC Fight Night: Thompson vs. Holland

   ",<200 http://ufcstats.com/fight-details/a71764d5da04e3bc>,http://ufcstats.com/fighter-details/0a1942069c9ad6b6,http://ufcstats.com/fighter-details/327d5f279895110d
"

  UFC Fight Night: Thompson vs. Holland

   ",<200 http://ufcstats.com/fight-details/ca0f0a35a1fcb453>,http://ufcstats.com/fighter-details/cad24459b28592ca,http://ufcstats.com/fighter-details/d6c0cdd7e467c440
"

  UFC Fight Night: Thompson vs. Holland

   ",<200 http://ufcstats.com/fight-details/7fbf09533c59e43f>,http://ufcstats.com/fighter-details/d8da10db80131bec,http://ufcstats.com/fighter-details/8e382b585a92affe
"

  UFC Fight Night: Thompson vs. Holland

   ",<200 http://ufcstats.com/fight-details/0c9faf26efe2cdcc>,http://ufcstats.com/fighter-details/f0feeb2192937424,http://ufcstats.com/fighter-details/02f8fedc18cbd26c
"

  UFC Fight Night: Thompson vs. Holland

   ",<200 http://ufcstats.com/fight-details/7bd6969c4ed979f9>,http://ufcstats.com/fighter-details/c47df9303d318c67,http://ufcstats.com/fighter-details/df1eb4354d18a906
"

  UFC Fight Night: Thompson vs. Holland

   ",<200 http://ufcstats.com/fight-details/92c1d9a6d313cb0c>,http://ufcstats.com/fighter-details/511e82663651438d,http://ufcstats.com/fighter-details/32c355b04fc57f3a
"

  UFC Fight Night: Thompson vs. Holland

   ",<200 http://ufcstats.com/fight-details/be977e524ef56aa4>,http://ufcstats.com/fighter-details/92a9aa9c93192871,http://ufcstats.com/fighter-details/87c0b1c696ddfb43
"

  UFC Fight Night: Thompson vs. Holland

   ",<200 http://ufcstats.com/fight-details/30abc50a2e71c576>,http://ufcstats.com/fighter-details/a29db9cd4f9ccea5,http://ufcstats.com/fighter-details/cda1099995b46cc2
"

  UFC Fight Night: Thompson vs. Holland

   ",<200 http://ufcstats.com/fight-details/1114cd1515cf3b8f>,http://ufcstats.com/fighter-details/2804ce8dadab5770,http://ufcstats.com/fighter-details/5d495dec23d7c68e
"

  UFC Fight Night: Thompson vs. Holland

   ",<200 http://ufcstats.com/fight-details/2cec230248d7eb97>,http://ufcstats.com/fighter-details/40cb680ae1cd331f,http://ufcstats.com/fighter-details/efc67b07eed39794
"

  UFC Fight Night: Nzechukwu vs. Cutelaba

   ",<200 http://ufcstats.com/fight-details/c33257dd0605c7de>,http://ufcstats.com/fighter-details/8667caa0451d245b,http://ufcstats.com/fighter-details/cd13728ae1151f46
"

  UFC Fight Night: Nzechukwu vs. Cutelaba

   ",<200 http://ufcstats.com/fight-details/110f539523a4b571>,http://ufcstats.com/fighter-details/01b352b6a9074d5c,http://ufcstats.com/fighter-details/fc08099550072fe4
"

  UFC Fight Night: Nzechukwu vs. Cutelaba

   ",<200 http://ufcstats.com/fight-details/c317f85a8266313e>,http://ufcstats.com/fighter-details/33efaf2d0941cfcf,http://ufcstats.com/fighter-details/447f9858ae78f921
"

  UFC Fight Night: Nzechukwu vs. Cutelaba

   ",<200 http://ufcstats.com/fight-details/d0c01840c72429c6>,http://ufcstats.com/fighter-details/6b453bc35a823c3f,http://ufcstats.com/fighter-details/a6cba6bb66c1a8c9
"

  UFC Fight Night: Nzechukwu vs. Cutelaba

   ",<200 http://ufcstats.com/fight-details/b4cfb34e8224fd77>,http://ufcstats.com/fighter-details/814e5233e2acf2ee,http://ufcstats.com/fighter-details/55fa6ce3e522c8bb
"

  UFC Fight Night: Nzechukwu vs. Cutelaba

   ",<200 http://ufcstats.com/fight-details/144443d4dbf43990>,http://ufcstats.com/fighter-details/8e1f36476ef02a6a,http://ufcstats.com/fighter-details/b4192a975027aab6
"

  UFC Fight Night: Nzechukwu vs. Cutelaba

   ",<200 http://ufcstats.com/fight-details/594435375d641f63>,http://ufcstats.com/fighter-details/37098a6e6c27fb66,http://ufcstats.com/fighter-details/46e0d677f91bacc0
"

  UFC Fight Night: Nzechukwu vs. Cutelaba

   ",<200 http://ufcstats.com/fight-details/0f2983fe7753403f>,http://ufcstats.com/fighter-details/cd3d7e37ff2d679c,http://ufcstats.com/fighter-details/0c258d1d8e16e5f1
